sector_id,isic,sector_name,unilateral_usa,trade_war_usa,trade_war_can
1,A01,Crop & Animal Production,13.21,17.52,20.08
2,A02,Forestry,23.48,16.17,27.10
3,A03,Fishing & Aquaculture,13.70,14.87,13.38
4,B,Mining,13.98,15.75,13.10
5,C10-C12,"Food, Beverages & Tobacco",6.00,15.85,13.48
6,C13-C15,"Textiles, Leather & Apparel",2.60,11.84,8.85
7,C16,Wood Products,13.65,14.62,12.98
8,C17,Paper Products,18.84,14.08,11.62
9,C18,Printing & Recorded Media,17.23,16.60,14.21
10,C19,Coke & Refined Petroleum,18.01,14.52,13.09
11,C20,Chemicals,16.00,12.70,13.98
12,C21,Pharmaceuticals,4.04,12.44,5.63
13,C22,Rubber & Plastics,17.59,13.13,8.69
14,C23,Non-Metallic Mineral Products,16.58,14.55,11.07
15,C24,Basic Metals,10.87,11.30,8.63
16,C25,Fabricated Metals,11.74,13.29,10.72
17,C26,Electronics & Optics,4.97,9.58,4.27
18,C27,Electrical Equipment,17.99,8.66,4.04
19,C28,Machinery,11.45,10.91,6.76
20,C29,Motor Vehicles,12.94,9.21,15.03
21,C30,Other Transport,17.04,13.79,9.34
22,C31-C32,Furniture,11.61,11.99,10.31
